drug,disease
[14320],37722
[14019],37722
[17417],37722
[15366],37722
[14590],37722
[14023],37722
[14269],39808
[14269],32815
[14269],83783
[14269],83784
[14024],39808
[14024],32815
[14024],83783
[14024],83784
[14028],39808
[14028],32815
[14028],83783
[14028],83784
[15003],39808
[15003],32815
[15003],83783
[15003],83784
[14042],39808
[14042],32815
[14042],83783
[14042],83784
[14320],39808
[14320],32815
[14320],83783
[14320],83784
[14019],39808
[14019],32815
[14019],83783
[14019],83784
[15867],39808
[15867],32815
[15867],83783
[15867],83784
[15307],39808
[15307],32815
[15307],83783
[15307],83784
[15794],39820
[15794],27366
[14269],39820
[14269],27366
[14242],39820
[14242],27366
[14509],39820
[14509],27366
[16221],39820
[16221],27366
[15882],39820
[15882],27366
[14158],39820
[14158],27366
[14024],39820
[14024],27366
[14030],39820
[14030],27366
[14028],39820
[14028],27366
[15003],39820
[15003],27366
[14042],39820
[14042],27366
[14320],39820
[14320],27366
[17601],39820
[17601],27366
[14175],39820
[14175],27366
[15887],39820
[15887],27366
[14227],39820
[14227],27366
[14204],39820
[14204],27366
[14019],39820
[14019],27366
[14191],39820
[14191],27366
[17584],39820
[17584],27366
[14183],39820
[14183],27366
[14238],39820
[14238],27366
[14278],39820
[14278],27366
[15984],39820
[15984],27366
[17583],39820
[17583],27366
[17585],39820
[17585],27366
[15101],39820
[15101],27366
[14061],39820
[14061],27366
[14390],39820
[14390],27366
[14023],39820
[14023],27366
[20161],39820
[20161],27366
[14269],27452
[14269],38496
[14024],27452
[14024],38496
[14530],27452
[14530],38496
[14030],27452
[14030],38496
[14028],27452
[14028],38496
[15003],27452
[15003],38496
[14042],27452
