hypergraph_idx,kg_idx,node_name
103,16825,Ardeparin
104,16831,Antithrombin III human
105,16837,Urea
106,16842,Pramipexole
107,16843,Dipivefrin
108,16844,Phentolamine
109,16845,Phenoxybenzamine
110,16846,Oxymetazoline
111,16847,Apraclonidine
112,16850,Flupirtine
113,16851,Xylometazoline
114,16852,Naphazoline
115,16853,Moxonidine
116,16854,Rilmenidine
117,16855,Methylphenidate
118,16857,Bifeprunox
119,16865,Pardoprunox
120,16867,Demeclocycline
121,16874,Rocuronium
122,16878,Tropisetron
123,16879,Dextrothyroxine
124,16883,Tiratricol
125,16887,Sobetirome
126,16892,Secretin human
127,16962,Raltitrexed
128,16972,Fludarabine
129,16973,Imexon
130,16975,Pentosan polysulfate
131,16977,Carbenoxolone
132,16991,Gentamicin
133,17003,Iclaprim
134,17023,Tafamidis
135,17028,Ziconotide
136,17029,Voclosporin
137,17030,Alectinib
138,17034,D-Serine
139,17037,Ifenprodil
140,17040,Cediranib
141,17042,Ramucirumab
142,17044,RAF-265
143,17060,Sodium tetradecyl sulfate
144,17062,Butalbital
145,17063,Talbutal
146,17064,Meprobamate
147,17065,Metharbital
148,17066,Amobarbital
149,17067,Butobarbital
150,17070,Pagoclone
151,17073,Orotic acid
152,17076,Brequinar
153,17100,Casopitant
154,17104,Follitropin
155,17106,Corifollitropin alfa
156,17107,Sumanirole
157,17108,Botulinum toxin type A
158,17111,Alpha-1-proteinase inhibitor
159,17112,Filgrastim
160,17116,Sucrose
161,17124,Phylloquinone
162,17127,Geneticin
163,17128,Eflornithine
164,17141,Oprelvekin
165,17148,Metolazone
166,17149,Butorphanol
167,17150,Nalbuphine
168,17151,Levorphanol
169,17152,Remifentanil
170,17153,Diphenoxylate
171,17170,Pyridostigmine
172,17173,Physostigmine
173,17174,Rivastigmine
174,17185,Huperzine B
175,17195,Huperzine A
176,17197,Itopride
177,17210,Enzastaurin
178,17211,Perifosine
179,17214,Drotaverine
180,17215,Salmon calcitonin
181,17216,Pramlintide
182,17218,Thiocolchicoside
183,17220,Milrinone
184,17221,Levosimendan
185,17222,Amrinone
186,17223,Enoximone
187,17224,Ibudilast
188,17225,Abciximab
189,17226,Tirofiban
190,17229,Cetirizine
191,17230,Doxylamine
192,17231,Dexbrompheniramine
193,17232,Triprolidine
194,17233,Carbinoxamine
195,17235,Methdilazine
196,17236,Ketotifen
197,17237,Desloratadine
198,17238,Dimenhydrinate
199,17239,Emedastine
200,17240,Levocabastine
201,17241,Diphenylpyraline
202,17242,Bromodiphenhydramine
203,17243,Alimemazine
204,17244,Aceprometazine
205,17245,Phenindamine
206,17246,Clofedanol
207,17247,Bepotastine
208,17251,Alcaftadine
209,17252,Antazoline
210,17256,Chlorcyclizine
211,17257,Butriptyline
212,17258,Acrivastine
213,17259,Bilastine
214,17262,Emricasan
215,17268,Aniracetam
216,17270,Pimavanserin
217,17273,Amisulpride
218,17276,Sarpogrelate
219,17277,Eplivanserin
220,17278,Ketanserin
221,17282,Lutetium Lu 177 dotatate
222,17286,Nitisinone
223,17300,Nicorandil
224,17301,Flumazenil
225,17303,Miglustat
226,17304,Guanadrel
227,17305,Protriptyline
228,17306,Phenmetrazine
229,17307,Diethylpropion
230,17308,Guanethidine
231,17309,Phendimetrazine
232,17310,Amineptine
233,17313,Tesofensine
234,17315,Dexmethylphenidate
235,17317,Netarsudil
236,17318,Solriamfetol
237,17319,Papaverine
238,17321,Piclamilast
239,17322,Rolipram
240,17328,Cilomilast
241,17333,Isoleucine
242,17335,Porfimer sodium
243,17337,Droperidol
244,17338,Metaraminol
245,17339,Methoxamine
246,17341,Tetryzoline
247,17344,Piretanide
248,17345,Resorcinol
249,17347,Neomycin
250,17350,Etelcalcetide
251,17351,Trastuzumab
252,17353,Varlitinib
253,17355,Pertuzumab
254,17356,Afatinib
255,17357,Tesevatinib
256,17358,Margetuximab
257,17359,Efalizumab
258,17360,Antithymocyte immunoglobulin (rabbit)
259,17371,Atrasentan
260,17373,Sparsentan
261,17374,Glucagon
262,17376,Cefotaxime
